Date,Open,High,Low,Close,Adj Close,Volume
5/31/2019,5740,5870,5735,5820,5229.245117,96875000
6/3/2019,5820,5820,5820,5820,5229.245117,0
6/4/2019,5820,5820,5820,5820,5229.245117,0
6/5/2019,5820,5820,5820,5820,5229.245117,0
6/6/2019,5820,5820,5820,5820,5229.245117,0
6/7/2019,5820,5820,5820,5820,5229.245117,0
6/10/2019,6000,6190,5810,5880,5283.154297,179238000
6/11/2019,5900,5960,5845,5910,5310.109375,72901000
6/12/2019,5840,5900,5820,5845,5251.707031,69255500
6/13/2019,5885,5885,5790,5805,5215.76709,78802500
6/14/2019,5845,5845,5790,5800,5211.274902,57220500
6/17/2019,5810,5840,5790,5795,5206.781738,83624000
6/18/2019,5795,5900,5795,5900,5301.124512,78788000
6/19/2019,5900,5960,5890,5940,5337.064453,66944500
6/20/2019,5900,5940,5805,5910,5310.109375,59504500
6/21/2019,5910,5935,5840,5880,5283.154297,144149000
6/24/2019,5895,5900,5865,5875,5278.661621,30084000
6/25/2019,5930,5960,5875,5910,5310.109375,40561500
6/26/2019,5940,5940,5860,5865,5269.676758,59334500
6/27/2019,5850,5935,5805,5935,5332.571777,77525000
6/28/2019,5980,5995,5960,5995,5386.481445,80919000
7/1/2019,5995,6025,5965,5990,5381.989258,56612500
7/2/2019,5990,6000,5950,6000,5390.974609,48563500
7/3/2019,5950,6000,5940,6000,5390.974609,43640000
7/4/2019,6000,6010,5965,5990,5381.989258,28224500
7/5/2019,6020,6020,5970,5970,5364.019043,32722500
7/8/2019,5935,5960,5865,5880,5283.154297,38361000
7/9/2019,5870,6000,5870,6000,5390.974609,47740500
7/10/2019,6000,6040,5995,6000,5390.974609,52183500
7/11/2019,6020,6025,5980,6025,5413.436523,34279500
7/12/2019,6000,6030,5995,6010,5399.958496,29838000
7/15/2019,6060,6115,6035,6105,5485.316895,61453500
7/16/2019,6080,6105,6070,6085,5467.346191,38075000
7/17/2019,6080,6150,6045,6150,5525.749023,45487000
7/18/2019,6100,6170,6055,6145,5521.255371,43625500
7/19/2019,6195,6210,6150,6200,5570.672852,43973500
7/22/2019,6260,6290,6200,6290,5651.537598,37314500
7/23/2019,6240,6290,6205,6235,5602.120117,39129500
7/24/2019,6260,6265,6165,6250,5615.597656,51343500
7/25/2019,6270,6275,6200,6250,5615.597656,53477500
7/26/2019,6250,6250,6190,6195,5566.180664,51797500
7/29/2019,6220,6230,6160,6190,5561.688965,68509500
7/30/2019,6205,6250,6190,6220,5588.643066,38225500
7/31/2019,6190,6240,6180,6190,5561.688965,64129000
8/1/2019,6190,6270,6185,6210,5579.658203,78228000
8/2/2019,6160,6205,6160,6165,5539.225586,62989500
8/5/2019,6215,6215,6000,6000,5390.974609,90924000
8/6/2019,5880,5955,5765,5880,5283.154297,183296000
8/7/2019,5975,6050,5905,6010,5399.958496,92102000
8/8/2019,6010,6080,5980,6005,5395.467285,58295500
8/9/2019,6055,6120,6055,6065,5449.376465,48118500
8/12/2019,6070,6080,6000,6040,5426.913574,52705000
8/13/2019,6000,6040,6000,6015,5404.45166,84406000
8/14/2019,6040,6060,5980,6010,5399.958496,81942000
8/15/2019,5920,6000,5860,6000,5390.974609,52561500
8/16/2019,6040,6040,5960,5960,5355.03418,49821500
8/19/2019,6030,6030,5965,6015,5404.45166,30619000
8/20/2019,6035,6035,5985,5985,5377.496582,58393500
8/21/2019,6000,6005,5975,5975,5368.512207,55927500
8/22/2019,5925,6000,5920,6000,5390.974609,65888000
8/23/2019,5920,5995,5905,5995,5386.481445,33083500
8/26/2019,5940,6000,5860,5990,5381.989258,41388500
8/27/2019,6040,6040,5950,6005,5395.467285,123780000
8/28/2019,6000,6020,5985,5995,5386.481445,55688000
8/29/2019,5990,6025,5985,6005,5395.467285,51525500
8/30/2019,6080,6100,6005,6100,5480.82373,73650000
9/2/2019,6100,6100,6000,6000,5390.974609,42429000
9/3/2019,6000,6055,6000,6055,5440.391602,42743500
9/4/2019,6060,6060,6005,6020,5408.943848,41979000
9/5/2019,6085,6085,6015,6040,5426.913574,53650500
9/6/2019,6060,6060,6025,6025,5413.436523,54349000
9/9/2019,6050,6055,5980,6035,5422.420898,25912000
9/10/2019,6020,6055,5985,6055,5440.391602,40291000
9/11/2019,6050,6100,6010,6100,5480.82373,45243500
9/12/2019,6100,6105,6010,6020,5408.943848,40034000
9/13/2019,6080,6090,6010,6030,5417.929199,28419500
9/16/2019,6000,6015,5985,6005,5395.467285,77289000
9/17/2019,5990,6035,5985,6030,5417.929199,92037500
9/18/2019,5990,6040,5990,6040,5426.913574,28667000
9/19/2019,6015,6045,6000,6030,5417.929199,61988500
9/20/2019,6050,6050,5990,5990,5381.989258,133433000
9/23/2019,6030,6030,6000,6025,5413.436523,47231500
9/24/2019,5980,6000,5940,5945,5341.557129,79718500
9/25/2019,5900,5935,5780,5935,5332.571777,88620000
9/26/2019,6000,6060,5970,6060,5444.883789,109859000
9/27/2019,6005,6075,6000,6070,5453.868164,48010000
9/30/2019,6070,6070,6005,6070,5453.868164,73391000
10/1/2019,6010,6065,6010,6040,5426.913574,40057000
10/2/2019,6010,6070,6010,6050,5435.898438,52376500
10/3/2019,6010,6045,5950,6040,5426.913574,50269000
10/4/2019,5980,6065,5980,6045,5431.406738,56890500
10/7/2019,6070,6080,6050,6070,5453.868164,56705500
10/8/2019,6080,6100,6015,6100,5480.82373,46997500
10/9/2019,6100,6100,6050,6070,5453.868164,41496500
10/10/2019,6020,6110,6020,6110,5489.808594,65806500
10/11/2019,6080,6155,6080,6125,5503.286621,40863500
10/14/2019,6130,6200,6130,6200,5570.672852,37514500
10/15/2019,6190,6190,6145,6175,5548.211426,40935000
10/16/2019,6200,6215,6175,6215,5584.149902,65776500
10/17/2019,6185,6210,6105,6115,5494.30127,45666500
10/18/2019,6160,6170,6140,6160,5534.733398,41008500
10/21/2019,6200,6255,6185,6220,5588.643066,59971500
10/22/2019,6270,6300,6225,6300,5660.522949,67259500
10/23/2019,6300,6305,6260,6275,5638.060059,62219000
10/24/2019,6290,6320,6270,6300,5660.522949,73101000
10/25/2019,6320,6325,6175,6200,5570.672852,61929500
10/28/2019,6200,6250,6200,6205,5575.164551,43249500
10/29/2019,6205,6240,6150,6220,5588.643066,79861500
10/30/2019,6280,6285,6200,6265,5629.074707,60738000
10/31/2019,6270,6300,6250,6290,5651.537598,58420500
11/1/2019,6300,6325,6275,6325,5682.984863,42080500
11/4/2019,6350,6380,6260,6275,5638.060059,43794500
11/5/2019,6350,6360,6270,6360,5714.433105,66161500
11/6/2019,6380,6380,6295,6295,5656.030273,63393000
11/7/2019,6335,6335,6250,6285,5647.044922,61972000
11/8/2019,6315,6315,6250,6280,5642.552734,90040500
11/11/2019,6335,6340,6265,6295,5656.030273,70207000
11/12/2019,6220,6280,6220,6265,5629.074707,47635500
11/13/2019,6265,6285,6265,6280,5642.552734,40083500
11/14/2019,6265,6280,6210,6270,5633.567383,37862000
11/15/2019,6280,6290,6255,6275,5638.060059,47138000
11/18/2019,6245,6285,6210,6280,5642.552734,65599000
11/19/2019,6330,6350,6300,6315,5673.999512,60115000
11/20/2019,6255,6350,6255,6350,5705.447266,43229500
11/21/2019,6350,6350,6300,6300,5660.522949,57523500
11/22/2019,6280,6310,6270,6305,5665.014648,56035000
11/25/2019,6330,6335,6275,6275,5638.060059,55133500
11/26/2019,6330,6330,6270,6285,5647.044922,192783500
11/27/2019,6270,6300,6240,6300,5660.522949,58833500
11/28/2019,6295,6295,6245,6250,5615.597656,44248000
11/29/2019,6230,6295,6225,6280,5642.552734,52954500
12/2/2019,6280,6425,6270,6425,5772.834473,49909000
12/3/2019,6420,6420,6345,6375,5727.90918,42823000
12/4/2019,6360,6400,6355,6365,5718.924805,37552000
12/5/2019,6360,6385,6330,6340,5696.462402,54168000
